Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
1;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0202;ACACIAS;025;55 - 59;Española;M;1;Primera Atención;010;Malos Tratos;02/01/2018
2;83;CSS Zaida;11;CARABANCHEL;10;LATINA;1004;ALUCHE;082;50 - 54;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2018
3;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;026;75 - 79;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2018
4;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;021;65 - 69;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2018
5;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0501;EL VISO;005;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2018
6;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1503;QUINTANA;096;25 - 29;Española;M;1;Primera Atención;020;Abandono;02/01/2018
7;91;CSS Luis Vives;15;CIUDAD LINEAL;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;064;35 - 39;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;02/01/2018
8;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;018;75 - 79;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2018
9;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;148;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2018
10;86;CSS San Diego;13;PUENTE DE VALLECAS;10;LATINA;1002;PUERTA DEL ANGEL;016;50 - 54;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2018
11;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;046;70 - 74;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2018
12;72;CSS Retiro;03;RETIRO;03;RETIRO;0301;PACIFICO;016;40 - 44;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2018
13;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2002;HELLIN;026;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2018
14;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;015;60 - 64;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2018
15;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1704;LOS ROSALES;049;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;02/01/2018
16;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1704;LOS ROSALES;049;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;02/01/2018
17;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1705;LOS ANGELES;082;>= 85;Española;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2018
18;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;133;55 - 59;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2018
19;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;101;50 - 54;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2018
20;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;047;75 - 79;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2018
21;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;063;45- 49;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;03/01/2018
22;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;112;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2018
23;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;024;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2018
24;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;081;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2018
25;91;CSS Luis Vives;15;CIUDAD LINEAL;12;USERA ;1201;ORCASITAS;008;25 - 29;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2018
26;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0805;LA PAZ;091;60 - 64;Española;M;1;Primera Atención;040;Desproteccion social problema salud;03/01/2018
27;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0801;EL PARDO;004;80 - 84;Española;M;2;Zona / Historia Social;010;Malos Tratos;03/01/2018
28;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;060;70 - 74;Española;M;0;CIVIS;040;Desproteccion social problema salud;03/01/2018
29;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;073;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;03/01/2018
30;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;053;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2018
31;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;177;50 - 54;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2018
32;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;057;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;03/01/2018
33;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;093;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2018
34;85;CSS Loyola de Palacio;12;USERA ;12;USERA ;1202;ORCASUR;019;70 - 74;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2018
35;84;CSS San Filiberto;12;USERA ;12;USERA ;1201;ORCASITAS;008;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2018
36;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;045;35 - 39;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2018
37;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0201;IMPERIAL;004;65 - 69;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2018
